student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,internet,studytime,failures,absences,subject,at_risk
1,GP,F,18,U,GT3,A,4,4,no,2,0,6,math,1
2,GP,F,17,U,GT3,T,1,1,yes,2,0,4,math,1
3,GP,F,15,U,LE3,T,1,1,yes,2,3,10,math,0
4,GP,F,15,U,GT3,T,4,2,yes,3,0,2,math,0
5,GP,F,16,U,GT3,T,3,3,no,2,0,4,math,0
6,GP,M,16,U,LE3,T,4,3,yes,2,0,10,math,0
7,GP,M,16,U,LE3,T,2,2,yes,2,0,0,math,0
8,GP,F,17,U,GT3,A,4,4,no,2,0,6,math,1
9,GP,M,15,U,LE3,A,3,2,yes,2,0,0,math,0
10,GP,M,15,U,GT3,T,3,4,yes,2,0,0,math,0
11,GP,F,15,U,GT3,T,4,4,yes,2,0,0,math,1
12,GP,F,15,U,GT3,T,2,1,yes,3,0,4,math,0
13,GP,M,15,U,LE3,T,4,4,yes,1,0,2,math,0
14,GP,M,15,U,GT3,T,4,3,yes,2,0,2,math,0
15,GP,M,15,U,GT3,A,2,2,yes,3,0,0,math,0
16,GP,F,16,U,GT3,T,4,4,yes,1,0,4,math,0
17,GP,F,16,U,GT3,T,4,4,yes,3,0,6,math,0
18,GP,F,16,U,GT3,T,3,3,no,2,0,4,math,0
19,GP,M,17,U,GT3,T,3,2,yes,1,3,16,math,1
20,GP,M,16,U,LE3,T,4,3,yes,1,0,4,math,0
21,GP,M,15,U,GT3,T,4,3,yes,2,0,0,math,0
22,GP,M,15,U,GT3,T,4,4,yes,1,0,0,math,0
23,GP,M,16,U,LE3,T,4,2,yes,2,0,2,math,0
24,GP,M,16,U,LE3,T,2,2,yes,2,0,0,math,0
25,GP,F,15,R,GT3,T,2,4,yes,3,0,2,math,1
26,GP,F,16,U,GT3,T,2,2,yes,1,2,14,math,1
27,GP,M,15,U,GT3,T,2,2,yes,1,0,2,math,0
28,GP,M,15,U,GT3,T,4,2,yes,1,0,4,math,0
29,GP,M,16,U,LE3,A,3,4,yes,2,0,4,math,0
30,GP,M,16,U,GT3,T,4,4,yes,2,0,16,math,0
31,GP,M,15,U,GT3,T,4,4,yes,2,0,0,math,0
32,GP,M,15,U,GT3,T,4,4,yes,2,0,0,math,0
33,GP,M,15,R,GT3,T,4,3,yes,2,0,0,math,0
34,GP,M,15,U,LE3,T,3,3,yes,2,0,0,math,0
35,GP,M,16,U,GT3,T,3,2,yes,1,0,0,math,0
36,GP,F,15,U,GT3,T,2,3,no,1,0,0,math,1
37,GP,M,15,U,LE3,T,4,3,yes,3,0,2,math,0
38,GP,M,16,R,GT3,A,4,4,yes,3,0,7,math,0
39,GP,F,15,R,GT3,T,3,4,yes,3,0,2,math,0
40,GP,F,15,R,GT3,T,2,2,no,1,0,8,math,0
41,GP,F,16,U,LE3,T,2,2,yes,2,1,25,math,0
42,GP,M,15,U,LE3,T,4,4,yes,1,0,8,math,0
43,GP,M,15,U,GT3,T,4,4,yes,2,0,2,math,0
44,GP,M,15,U,GT3,T,2,2,yes,1,0,0,math,0
